ost,river,ostan,station,sal,abi,ertefa,arz,tool,code,mhr,abn,azr,dey,bah,esf,far,ord,khr,tir,mor,shr,rooz
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.008,0.012,0.066,0.311,0.328,0.346,0.409,0,0,0,0,0,1
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.008,0.012,0.072,0.312,0.329,0.346,0.321,0,0,0,0,0,2
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.009,0.012,0.079,0.312,0.329,0.347,0.332,0,0,0,0,0,3
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.009,0.012,0.102,0.313,0.33,0.347,0.275,0,0,0,0,0,4
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.009,0.015,0.217,0.313,0.331,0.348,0.249,0,0,0,0,0,5
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.01,0.016,0.233,0.314,0.331,0.348,0.298,0,0,0,0,0,6
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.01,0.017,0.233,0.314,0.332,0.349,0.252,0,0,0,0,0,7
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.01,0.022,0.249,0.315,0.332,0.332,0.252,0,0,0,0,0,8
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.009,0.024,0.24,0.316,0.333,0.352,0.244,0,0,0,0,0,9
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.009,0.026,0.249,0.316,0.333,0.367,0.189,0,0,0,0,0,10
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.009,0.029,0.257,0.317,0.334,0.377,0.12,0,0,0,0,0,11
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.01,0.033,0.266,0.317,0.335,0.38,0.125,0,0,0,0,0,12
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.011,0.031,0.249,0.318,0.335,0.363,0.121,0,0,0,0,0,13
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.015,0.031,0.225,0.318,0.336,0.321,0.109,0,0,0,0,0,14
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.015,0.031,0.217,0.319,0.336,0.352,0.052,0,0,0,0,0,15
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.015,0.029,0.257,0.32,0.337,0.387,0.047,0,0,0,0,0,16
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.015,0.031,0.279,0.32,0.337,0.398,0.008,0,0,0,0,0,17
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.014,0.033,0.311,0.321,0.338,0.355,0.007,0,0,0,0,0,18
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.014,0.033,0.311,0.321,0.339,0.353,0.007,0,0,0,0,0,19
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.014,0.031,0.292,0.322,0.339,0.344,0.007,0,0,0,0,0,20
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.012,0.031,0.302,0.323,0.34,1.26,0.021,0,0,0,0,0,21
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.011,0.031,0.301,0.323,0.34,1.34,0.009,0,0,0,0,0,22
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.011,0.033,0.292,0.324,0.341,1.22,0.002,0,0,0,0,0,23
25,ÌœÌ »Ê ·Ìﬂ ç«Ì,«—œ»Ì·  -25,⁄„Ê ﬁÌ‰,1328,29,1385,38-15-07,47-10-40,19-022,0.012,0.033,0.311,0.324,0.342,2.98,0.005,0,0,0,0,0,24
